userId,movieId,rating,timestamp
1,1210,5.0,964980499
1,804,4.0,964980499
1,2018,5.0,964980523
1,2628,4.0,964980523
1,2826,4.0,964980523
1,3578,5.0,964980668
1,3617,4.0,964980683
1,3744,4.0,964980694
1,2858,5.0,964980868
1,101,5.0,964980868
1,441,4.0,964980868
1,1473,4.0,964980875
1,2997,4.0,964980896
1,235,4.0,964980908
1,1060,4.0,964980924
1,356,4.0,964980962
1,223,3.0,964980985
1,1500,4.0,964980985
1,2700,5.0,964980985
1,2395,5.0,964981093
1,3243,3.0,964981093
1,3253,5.0,964981107
1,1517,5.0,964981107
1,1580,3.0,964981125
1,1732,5.0,964981125
1,2596,5.0,964981144
1,3450,5.0,964981144
1,1042,4.0,964981179
1,543,4.0,964981179
1,231,5.0,964981179
1,333,5.0,964981179
1,500,3.0,964981208
1,216,5.0,964981208
1,3052,5.0,964981208
1,3809,4.0,964981220
1,1777,4.0,964981230
1,3,4.0,964981247
1,2542,5.0,964981265
1,2502,5.0,964981278
1,1136,5.0,964981327
1,1080,5.0,964981327
1,1793,4.0,964981404
1,1256,5.0,964981442
1,1927,5.0,964981497
1,923,5.0,964981529
1,3671,5.0,964981589
1,2872,5.0,964981680
1,260,5.0,964981680
1,1073,5.0,964981680
1,1097,5.0,964981680
1,2174,4.0,964981680
1,2797,4.0,964981710
1,2193,4.0,964981710
1,2161,5.0,964981710
1,1967,4.0,964981710
1,2005,5.0,964981710
1,367,4.0,964981710
1,2093,3.0,964981710
1,2105,4.0,964981725
1,2143,4.0,964981725
1,3479,4.0,964981725
1,2054,4.0,964981747
1,1009,3.0,964981775
1,673,3.0,964981775
1,3489,4.0,964981775
1,2253,2.0,964981775
1,1920,4.0,964981780
1,3439,4.0,964981799
1,3440,4.0,964981799
1,1196,5.0,964981827
1,1198,5.0,964981827
1,1214,4.0,964981855
1,2692,5.0,964981855
1,3793,5.0,964981855
1,1197,5.0,964981872
1,3062,4.0,964981872
1,2944,5.0,964981872
1,2571,5.0,964981888
1,2949,5.0,964981888
1,2028,4.0,964981888
2,318,3.0,1445714835
2,79132,4.0,1445714841
2,131724,5.0,1445714851
2,115713,3.5,1445714854
2,99114,3.5,1445714874
2,112552,4.0,1445714882
2,3578,4.0,1445714885
2,91529,3.5,1445714891
2,74458,4.0,1445714926
2,91658,2.5,1445714938
2,77455,3.0,1445714941
2,6874,4.0,1445714952
2,8798,3.5,1445714960
3,1275,3.5,1306463323
3,2105,2.0,1306463559
3,1371,3.0,1306463561
3,914,0.5,1306463567
3,1263,0.5,1306463569
3,2080,0.5,1306463572
3,31,0.5,1306463578
3,720,0.5,1306463595
3,3703,5.0,1306463603
3,849,5.0,1306463611
3,647,0.5,1306463619
3,1272,0.5,1306463624
3,1093,0.5,1306463627
3,2288,4.0,1306463631
4,171,3.0,945078428
4,902,4.0,945078446
4,1304,3.0,945078467
4,417,2.0,945078467
4,2351,4.0,945078467
4,2959,2.0,945078528
4,2712,2.0,945078542
4,162,5.0,945078571
4,599,2.0,945078587
4,759,3.0,945078601
4,538,5.0,945078636
4,368,4.0,945078690
4,1283,5.0,945078690
4,2019,2.0,945078690
4,2921,4.0,945078708
4,2843,5.0,945078814
4,2583,5.0,945078863
4,2973,2.0,945078946
4,1079,2.0,945078946
4,1967,5.0,945078967
4,1199,2.0,945078967
4,2692,5.0,945079013
4,2076,4.0,945079052
4,215,5.0,945079078
4,800,4.0,945079106
4,509,1.0,945079106
4,1733,5.0,945079143
4,2390,5.0,945079164
4,319,5.0,945079182
4,1025,4.0,945079232
4,190,2.0,945079259
4,457,5.0,945079259
4,260,5.0,945079259
4,1084,5.0,945079259
4,553,2.0,945079301
4,1073,4.0,945079483
